symbol,sector,company,total_rows,unique_dates,duplicated_dates,invalid_days,valid_days,first_date,last_date,first_invalid_date,last_invalid_date,has_complete_history,eligible_sector,selected_melody70,exclusion_reason,daily_files,selected_tweets,selected_weekday_tweets,selected_weekend_tweets,invalid_json_lines
GD,Industrial Goods,General Dynamics Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,207,283,227,56,0
GE,Industrial Goods,General Electric Company,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,540,1724,1443,281,0
GOOG,Technology,Alphabet Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,680,7014,5893,1121,0
HD,Services,The Home Depot,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
HON,Industrial Goods,Honeywell International Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,181,255,200,55,0
HRG,Conglomerates,HRG Group Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
HSBC,Financial,HSBC Holdings plc,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,82,90,82,8,0
IEP,Conglomerates,Icahn Enterprises L.P.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
INTC,Technology,Intel Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,566,1794,1444,350,0
JNJ,Healthcare,Johnson & Johnson,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,498,1173,966,207,0
JPM,Financial,JPMorgan Chase & Co.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,548,1892,1600,292,0
KO,Consumer Goods,The Coca-Cola Company,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,480,1388,1117,271,0
LMT,Industrial Goods,Lockheed Martin Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,267,410,342,68,0
MA,Financial,Mastercard Incorporated,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,369,665,552,113,0
MCD,Services,McDonald's Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
MDT,Healthcare,Medtronic plc,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,227,369,313,56,0
MMM,Industrial Goods,3M Company,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,312,487,376,111,0
MO,Consumer Goods,Altria Group Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,309,499,402,97,0
MRK,Healthcare,Merck & Co.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,421,983,816,167,0
MSFT,Technology,Microsoft Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,640,3117,2678,439,0
NEE,Utilities,NextEra Energy Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,158,210,164,46,0
NGG,Utilities,National Grid plc,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,34,37,31,6,0
NVS,Healthcare,Novartis AG,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,204,286,246,40,0
ORCL,Technology,Oracle Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,360,692,580,112,0
PCG,Utilities,PG&E Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,140,198,153,45,0
PCLN,Services,The Priceline Group,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
PEP,Consumer Goods,Pepsico Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,300,541,430,111,0
PFE,Healthcare,Pfizer Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,465,1415,1228,187,0
PG,Consumer Goods,The Procter & Gamble,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,379,853,676,177,0
PICO,Conglomerates,PICO Holdings Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
PM,Consumer Goods,Philip Morris International,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,187,265,215,50,0
PPL,Utilities,PPL Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,128,162,136,26,0
PTR,Basic Materials,PetroChina Company Limited,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,47,56,53,3,0
RDS-B,Basic Materials,Royal Dutch Shell,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,3,3,3,0,0
REX,Conglomerates,REX American Resources,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
SLB,Basic Materials,Schlumberger Limited,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,275,459,374,85,0
SNP,Basic Materials,China Petroleum & Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,30,31,24,7,0
SNY,Healthcare,Sanofi,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,171,238,199,39,0
SO,Utilities,The Southern Company,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,202,317,274,43,0
SPLP,Conglomerates,Steel Partners Holdings,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
SRE,Utilities,Sempra Energy,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,92,117,94,23,0
T,Technology,AT&T Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,684,4981,3745,1236,0
TM,Consumer Goods,Toyota Motor Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,140,199,164,35,0
TOT,Basic Materials,TOTAL S.A.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,122,152,120,32,0
TSM,Technology,Taiwan Semiconductor Manufacturing Company Limited,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,106,118,100,18,0
UL,Consumer Goods,Unilever PLC,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,67,92,86,6,0
UN,Consumer Goods,Unilever N.V.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,74,101,84,17,0
UNH,Healthcare,UnitedHealth Group Incorporated,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,336,567,450,117,0
UPS,Services,United Parcel Service Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
UTX,Industrial Goods,United Technologies Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,267,451,387,64,0
V,Financial,Visa Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,484,1186,950,236,0
VZ,Technology,Verizon Communications Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,461,1002,829,173,0
WFC,Financial,Wells Fargo & Co.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,439,946,810,136,0
WMT,Services,Wal-Mart Stores Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
XOM,Basic Materials,Exxon Mobil Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,520,1632,1266,366,0
